Dice,IoU
4.0251168684335425e-05,4.0251168684335425e-05
5.3458781621884555e-05,5.3458781621884555e-05
9.697439963929355e-05,9.697439963929355e-05
9.285051055485383e-05,9.285051055485383e-05
9.53470662352629e-05,9.53470662352629e-05
7.151540921768174e-05,7.151540921768174e-05
0.00011575414100661874,0.00011575414100661874
4.322642053011805e-05,4.322642053011805e-05
